Assignment, Due,Link, Marks
Exercises 1, 2025-08-18,https://learning.monash.edu/course/view.php?id=34784&section=8,15
Exercises 2, 2025-09-01,https://learning.monash.edu/course/view.php?id=34784&section=8,20
Exercises 3, 2025-09-22,https://learning.monash.edu/course/view.php?id=34784&section=8,20
Project Part 1, 2025-10-13,https://learning.monash.edu/course/view.php?id=34784&section=8,20
Project Part 2, 2025-11-03,https://learning.monash.edu/course/view.php?id=34784&section=8,20
Quiz 1, 2025-08-07,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 2, 2025-08-14,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 3, 2025-08-21,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 4, 2025-08-28,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 5, 2025-09-04,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 6, 2025-09-11,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 7, 2025-09-18,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 8, 2025-09-25,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 9, 2025-10-09,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 10, 2025-10-16,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5
Quiz 11, 2025-10-23,https://learning.monash.edu/course/view.php?id=34784&section=8,0.5