month,year,ljo,chr,ker,kum,mlf,nzd,ptb,sam,spo,date
May,2002,377.3033333,375.22,NA,376.705,375.382,370.08,379.06,371.59,369.925,1/05/2002
June,2002,374.075,374.81,371.08,375.22,375.755,NA,376.67,371.6475,370.3,1/06/2002
July,2002,369.8625,NA,371.2,372.854,373.728,371,370.8433333,371.975,370.755,1/07/2002
August,2002,364.89,383.49,371.12,370.3825,371.16,NA,362.83,371.9566667,371.34,1/08/2002
September,2002,368.655,NA,372.59,370.232,369.7775,NA,366.65,372.055,371.64,1/09/2002
October,2002,371.7,373.195,372.035,371.7,370.52,371.59,372.885,372.612,371.8,1/10/2002
November,2002,372.65,373.6075,372.57,372.985,372.41,371.66,375.8,373.195,371.815,1/11/2002
December,2002,376.415,376.4625,NA,375.126,373.8425,NA,380.97,373.42,371.615,1/12/2002
January,2003,NA,NA,NA,376.5525,374.765,371.55,379.06,373.5125,371.945,1/01/2003
February,2003,378.0266667,375.49,373.17,377.245,375.59,NA,382.2975,372.6166667,371.79,1/02/2003
March,2003,378.16,377.12,NA,378.386,376.855,NA,384.8733333,374.5866667,371.685,1/03/2003
April,2003,379.95,380.64,373.11,378.755,378.004,372.3,382.8333333,374.192,371.93,1/04/2003
May,2003,380.05,NA,373.71,380.745,378.7725,372.86,382.056,373.93,372.25,1/05/2003
June,2003,378.49,NA,373.34,379.312,378.5725,373.22,380.0525,373.2833333,372.495,1/06/2003
July,2003,372.67,NA,NA,375.515,376.1,NA,371.1566667,374.126,372.875,1/07/2003
August,2003,368.6533333,375.885,NA,374.28,374.645,373.38,372.406,374.66,373.29,1/08/2003
September,2003,368.85,375.2625,373.69,372.144,372.7025,NA,368.51,374.182,373.835,1/09/2003
October,2003,378.39,377.745,373.31,373.7675,372.938,373.4,372.265,374.1775,373.795,1/10/2003
November,2003,377.45,377.02,NA,375.4375,374.9825,NA,379.9,374.6333333,373.645,1/11/2003
December,2003,378.8,376.765,NA,376.37,375.64,NA,382.14,375.0933333,374.35,1/12/2003
January,2004,381.69,378.2,NA,377.4575,376.4725,NA,382.848,375.44,373.605,1/01/2004
February,2004,380.24,378.24,375.22,380.65,378.0875,NA,383.17,376.4466667,373.5,1/02/2004
March,2004,381.265,378.95,NA,379.1525,379.216,373.9733333,382.13,375.88,373.84,1/03/2004
April,2004,381.715,379.445,NA,380.9875,380.625,374.395,383.842,375.75,373.86,1/04/2004
May,2004,381.6875,381.31,NA,380.2875,380.2625,NA,383.3033333,375.0766667,374.03,1/05/2004
June,2004,379.5175,377.9775,374.805,380.37,379.54,375.17,380.62,375.8966667,374.42,1/06/2004
July,2004,374.155,380.8566667,375.4,378.9875,376.5775,375.14,372.91,375.5675,374.795,1/07/2004
August,2004,370.065,379.36,375.16,377.402,375.6875,374.99,367.0275,376.445,375.295,1/08/2004
September,2004,370.29,377.7333333,NA,379.3075,374.132,NA,372.08,375.89,375.485,1/09/2004
October,2004,375.9,380.7925,NA,377.595,374.45,NA,374.28,377.21,375.605,1/10/2004
November,2004,NA,379.4025,NA,379.074,375.985,NA,382.176,376.216,375.5466667,1/11/2004
December,2004,381.9233333,380.43,374.66,378.52,377.41,374.74,386.5166667,381.5266667,375.29,1/12/2004
January,2005,381.0433333,379.495,NA,381.09,378.49,NA,386.37,377.2966667,375.375,1/01/2005
February,2005,382.09,380.095,NA,381.6625,379.9475,375.36,386.5,376.76,375.095,1/02/2005
March,2005,382.58,379.88,377.33,383.715,381.096,375.445,387.5966667,378.1725,379.315,1/03/2005
April,2005,383.49,382.505,376.03,384.0075,382.03,374.4,386.562,378.16,375.675,1/04/2005
May,2005,383.93,381.064,376.45,383.316,382.2225,375.75,386.2475,377.24,376.085,1/05/2005
June,2005,382.59,380.615,NA,381.9375,381.904,376.77,383.11,377.95,376.47,1/06/2005
July,2005,376.6933333,381.01,377.43,378.81,380.885,NA,377.11,377.795,379.65,1/07/2005
August,2005,372.49,380.456,377.86,376.636,378.334,378.5,368.44,378.2575,380.635,1/08/2005
September,2005,373.02,379.53,377.57,377.945,376.3175,377.345,372.978,378.066,377.66,1/09/2005
October,2005,379.16,NA,377.99,376.612,377.0625,377.63,378.5325,378.315,377.985,1/10/2005
November,2005,378.48,381.91,NA,381.14,378.244,378.77,383.5925,379.515,377.67,1/11/2005
December,2005,382.8,383.888,NA,382.1175,380,NA,385.572,379.1225,377.445,1/12/2005
January,2006,384.7,383.045,NA,383.536,380.9375,377.18,386.28,380.11,377.845,1/01/2006
February,2006,385.3,382.905,NA,383.62,381.895,NA,392.02,380.6433333,377.61,1/02/2006
March,2006,386.058,382.735,379.8,383.5775,382.388,377.63,390.13,379.395,377.595,1/03/2006
April,2006,386.2033333,384.6333333,NA,387.2825,384.755,378,387.4175,379.59,379.335,1/04/2006
May,2006,386.575,NA,379.65,386.258,385.274,378.17,389.205,379.98,377.95,1/05/2006
June,2006,385.07,381.95,NA,385.0475,383.7525,378.645,388.6566667,379.5275,378.265,1/06/2006
July,2006,381.7733333,381.37,378.77,382.3775,382.105,379.15,376.865,380.9766667,378.735,1/07/2006
August,2006,377.99,383.776,NA,377.958,379.986,379.33,372.14,379.714,379.13,1/08/2006
September,2006,376.65,381.3166667,NA,380.4225,378.4775,NA,378.5975,379.61,379.19,1/09/2006
October,2006,380.5233333,381.385,NA,380.696,379.0775,378.99,382.0475,379.882,379.29,1/10/2006
November,2006,383.235,381.846,NA,381.8025,380.076,NA,384.185,380.615,379.35,1/11/2006
December,2006,NA,382.1866667,NA,383.755,381.8125,379.1966667,391.51,381.2566667,382.15,1/12/2006
January,2007,386.06,383.05,NA,383.284,383.182,NA,391.09,380.42,379.24,1/01/2007
February,2007,386.825,382.9,NA,385.6075,384.215,NA,391.5633333,382.36,379.31,1/02/2007
March,2007,387.85,384.2625,NA,384.2075,384.4675,NA,392.932,382.2566667,379.265,1/03/2007
April,2007,388.91,385.12,NA,386.6525,386.395,380.21,391.41,381.79,379.555,1/04/2007
May,2007,387.84,384.47,380.48,386.954,386.394,NA,389.8175,382.2633333,379.85,1/05/2007
June,2007,385.67,384.65,380.59,386.4225,385.8725,380.82,389.854,381.8575,380.205,1/06/2007
July,2007,380.83,385.228,382.94,383.2133333,384.5275,380.875,374.895,382.4333333,380.6,1/07/2007
August,2007,378.41,383.6575,NA,379.78,381.584,380.83,373.4375,382.2475,381.075,1/08/2007
September,2007,378.5566667,382.8975,381.49,380.81,380.2825,381.1,378.4425,382.1,381.445,1/09/2007
October,2007,381.6,382.998,382.105,381.832,380.8075,381.34,381.165,382.3175,381.64,1/10/2007
November,2007,NA,383.885,NA,382.865,382.334,381.14,386.46,382.695,381.61,1/11/2007
December,2007,385.72,384.32,381.83,384.915,383.8575,381.96,390.0125,383.195,381.675,1/12/2007
January,2008,388.43,385.374,384.71,385.9775,385.5,381.53,400.1166667,384.456,381.795,1/01/2008
February,2008,388.31,385.6925,383.15,386.9133333,385.3175,NA,392.975,383.655,381.5433333,1/02/2008
March,2008,NA,385.185,NA,387.315,385.92,381.59,392.48,383.5275,381.625,1/03/2008
April,2008,389.93,386.752,384.49,388.59,386.8975,381.05,392.31,383.3025,381.84,1/04/2008
May,2008,389.9075,386.595,NA,389.2266667,388.466,NA,394.5,383.96,381.765,1/05/2008
June,2008,389.27,386.23,NA,388.1875,388.245,NA,389.6175,383.8033333,382.115,1/06/2008
July,2008,381.205,386.192,NA,385.16,386.366,383.05,381.6825,383.6725,384.405,1/07/2008
August,2008,379.3433333,385.54,NA,382.9975,383.63,NA,376.6133333,383.8325,385.315,1/08/2008
September,2008,NA,384.51,NA,382.914,382.86,383.37,379.08,383.575,383.305,1/09/2008
October,2008,382.73,384.19,NA,382.41,382.594,383.43,385.812,384.0575,383.255,1/10/2008
November,2008,386.05,385.13,384.06,384.27,384.0275,NA,388.98,384.3366667,383.365,1/11/2008
December,2008,389.0066667,387.2783333,NA,386.12,385.2925,NA,391.584,385.0533333,383.345,1/12/2008
January,2009,388.9,387.33,NA,387.85,386.806,382.87,394.046,385.54,383.395,1/01/2009
February,2009,390.465,388.4933333,385.75,389.185,387.2075,NA,395.48,384.1633333,383.08,1/02/2009
March,2009,391.2,388.9,NA,389.1366667,388.795,382.895,393.822,385.07,383.085,1/03/2009
April,2009,391.565,390.94,383.41,390.954,389.378,384.38,396.2333333,385.43,383.24,1/04/2009
May,2009,391.5,390.615,NA,390.76,389.98,383.7,393.706,384.695,383.33,1/05/2009
June,2009,389.5466667,387.7466667,384.6,390.69,389.55,NA,391.3875,384.185,383.645,1/06/2009
July,2009,NA,NA,NA,387.105,387.558,NA,382.894,384.886,384.08,1/07/2009
August,2009,380.8666667,NA,384.45,384.558,385.6375,384.5,381.4475,385.04,384.44,1/08/2009
September,2009,379.15,NA,386.89,384.575,384.358,384.21,379.155,384.49,384.76,1/09/2009
October,2009,382.885,388.104,NA,384.2,384.3775,383.47,386.63,385.23,384.99,1/10/2009
November,2009,385.57,388.15,NA,386.876,385.7275,NA,387.005,385.385,384.975,1/11/2009
December,2009,390.835,388.505,NA,388.045,387.212,383.92,392.445,384.89,384.88,1/12/2009
January,2010,390.81,390.9733333,385.39,391.72,387.9625,NA,393.838,NA,384.925,1/01/2010
February,2010,390.91,390.02,387.26,391.4125,389.81,384.9,394.6025,388.87,384.5233333,1/02/2010
March,2010,392.2566667,399.1325,NA,391.794,390.978,387.09,394.5725,387.885,384.575,1/03/2010
April,2010,394.2533333,NA,NA,392.96,392.6125,384.775,396.14,386.48,384.72,1/04/2010
May,2010,394.49,399.475,387.69,393.344,392.8875,385.79,395.2225,NA,384.905,1/05/2010
June,2010,392.8,389.3066667,NA,392.185,392.202,385.5,394.0325,388.17,385.405,1/06/2010
July,2010,385.6,413.65,NA,389.1525,389.925,386.17,383.472,388.46,386.08,1/07/2010
August,2010,381.04,388.145,387.16,386.004,387.644,386.52,378.1,387.855,386.705,1/08/2010
September,2010,383.82,390.915,386.8,386.3925,386.2325,NA,383.085,387.5925,387.225,1/09/2010
October,2010,389.7,390.325,NA,388.35,387.0475,387.04,388.868,386.93,387.265,1/10/2010
November,2010,NA,389.84,387.92,390.88,388.494,NA,397.1575,388.0566667,387.15,1/11/2010
December,2010,392.79,389.94,NA,389.7075,389.6525,387.41,397.824,388.8575,387.235,1/12/2010
January,2011,395.97,390.1166667,389.425,393.416,391.4625,387.03,399.2875,389.485,387.15,1/01/2011
February,2011,394.67,392.082,NA,393.1325,391.675,NA,396.9725,389.38,387.275,1/02/2011
March,2011,395.315,394.51,NA,393.8925,392.25,386.41,398.445,389.198,386.78,1/03/2011
April,2011,396.27,392.6333333,387.8,397.215,393.465,388.26,398.964,388.94,386.85,1/04/2011
May,2011,396.06,391.63,386.97,395.364,393.966,NA,400.23,389.41,386.985,1/05/2011
June,2011,395.665,393.36,NA,393.915,393.165,385.555,394.09,388.838,387.37,1/06/2011
July,2011,387.04,391.93,389.83,390.31,392.31,388.31,384.5666667,389.5225,387.68,1/07/2011
August,2011,382.97,391.8233333,NA,388.778,389.918,NA,378.67,390.168,388.285,1/08/2011
September,2011,NA,392.942,NA,388.39,388.385,389.28,384.765,390.5033333,388.625,1/09/2011
October,2011,388.1,390.2975,389.92,390.536,388.9775,387.68,390.0566667,391.095,388.97,1/10/2011
November,2011,392.49,390.84,392.07,393.5325,390.188,388.02,398.598,390.3075,389.02,1/11/2011
December,2011,401.95,391.38,NA,393.545,391.705,NA,397.305,390.6333333,389.075,1/12/2011
January,2012,395.78,395.3133333,390.5,393.4425,392.878,387.88,399.456,391.0525,388.885,1/01/2012
February,2012,397.53,393.9825,NA,394.646,393.1825,387.955,398.58,391.77,388.405,1/02/2012
March,2012,397,394.945,390.42,397.63,394.145,388.14,399.088,392.114,388.655,1/03/2012
April,2012,398.4975,398.2866667,NA,399.196,395.9875,388.26,401.05,390.98,388.735,1/04/2012
May,2012,397.7,401.745,391,397.8475,396.702,389.27,400.676,391.325,389.04,1/05/2012
June,2012,395.99,393.145,NA,395.9,395.73,390.29,396.8825,391.52,389.28,1/06/2012
July,2012,391.22,NA,390.12,392.59,393.862,NA,388.004,390.645,389.995,1/07/2012
August,2012,388.055,393.865,NA,393.7925,391.5625,390.63,381.886,391.8525,390.74,1/08/2012
September,2012,391.42,NA,390.72,390.2425,390.7575,391.27,386.25,391.6475,390.985,1/09/2012
October,2012,392.0866667,394.57,391.37,395.355,390.71,NA,393.648,392.0525,391.2,1/10/2012
November,2012,395.54,393.9525,392.27,394.162,392.9575,NA,398.6525,392.8175,391.12,1/11/2012
December,2012,397.55,393.19,392.13,394.715,394.15,391.32,399.276,392.925,391.38,1/12/2012
January,2013,399.73,NA,NA,398.51,395.184,391.37,401.115,394.6666667,391.15,1/01/2013
February,2013,401.225,NA,NA,397.6275,396.425,390.77,402.3025,393.77,391.16,1/02/2013
March,2013,399.08,NA,391.62,400.33,397.5975,391.58,402.9075,393.865,391.06,1/03/2013
April,2013,401.245,NA,392.68,399.552,398.27,NA,402.342,394.9466667,391.3733333,1/04/2013
May,2013,401.0633333,NA,NA,401.525,399.82,392.54,403.0325,394.85,392.02,1/05/2013
June,2013,400.37,397.1366667,393.55,400.0125,398.445,392.3333333,400.63,393.9466667,392.48,1/06/2013
July,2013,390.9233333,398.6,NA,395.84,397.232,NA,389.62,394.59,393,1/07/2013
August,2013,388.99,399.9,392.95,393.6625,394.06,NA,387.65,394.968,395.535,1/08/2013
September,2013,391.83,398.26,NA,392.2825,NA,393.66,389.01,394.8275,393.79,1/09/2013
October,2013,395.2233333,396.79,NA,395.168,NA,NA,395.648,394.8325,393.785,1/10/2013
November,2013,404.83,395.49,395.75,396.6775,NA,396.04,399.4425,395.18,396.52,1/11/2013
December,2013,400.165,397.47,395.18,397.836,NA,NA,403.586,395.8025,393.94,1/12/2013
January,2014,401.84,404.58,394.23,401.28,NA,392.75,402.85,396.635,393.935,1/01/2014
February,2014,401.71,NA,NA,400.49,NA,392.84,406.1975,397.135,393.72,1/02/2014
March,2014,403.42,397.55,NA,399.845,NA,393.33,404.582,395.935,393.585,1/03/2014
April,2014,403.82,399.205,NA,401.658,NA,NA,405.58,395.69,393.71,1/04/2014
May,2014,403.215,403.2333333,NA,402.445,NA,NA,405.2175,395.0866667,393.98,1/05/2014
June,2014,400.47,396.98,NA,401.318,NA,NA,402.566,395.535,394.6,1/06/2014
July,2014,395.9766667,403.1833333,NA,396.985,NA,NA,393.0833333,397.205,394.63,1/07/2014
August,2014,392.745,396.6425,394.86,394.7825,NA,393.99,388.6475,395.3125,395.145,1/08/2014
September,2014,393.38,401.0925,NA,395.872,NA,396.92,389.4825,395.96,395.5,1/09/2014
October,2014,397.94,NA,418.67,395.66,NA,NA,394.34,396.1075,395.655,1/10/2014
November,2014,400.5,NA,395.39,401.1175,NA,394.56,402.5425,402.81,395.62,1/11/2014
December,2014,401.92,NA,395.9,399.736,NA,395.19,603.576,395.055,395.675,1/12/2014
January,2015,NA,NA,NA,400.9875,NA,NA,405.32,397.89,395.765,1/01/2015
February,2015,403.825,401.51,NA,402.6675,NA,394.55,407.55,397.96,395.55,1/02/2015
March,2015,401.79,399.49,396.66,406.8075,NA,397.94,406.4833333,398.356,NA,1/03/2015
April,2015,403.88,398.88,NA,403.15,NA,NA,406.9166667,NA,NA,1/04/2015
May,2015,404.8,NA,NA,404.03,NA,NA,406.47,NA,NA,1/05/2015
