Location,Population,% ofworld
World,8127721171,100
China,1409670000,17.3
India,1404910000,17.3
United States,335893238,4.1
Indonesia,281603800,3.5
Pakistan,241499431,3
Nigeria,223800000,2.8
Brazil,203080756,2.5
Bangladesh,169828911,2.1
Russia,146150789,1.8
Mexico,129713690,1.6
Japan,123850000,1.5
Philippines,114163719,1.4
Ethiopia,109499000,1.3
Egypt,105914499,1.3
Democratic Republic of the Congo,105247000,1.3
Vietnam,100300000,1.2
Turkey,85372377,1.1
Iran,85000000,1
Germany,84673158,1
France,68468000,0.8
Great Britain,67596281,0.8
Thailand,65975198,0.8
Tanzania,65070448,0.8
South Africa,63015904,0.8
Italy,58971479,0.7
Myanmar,56712559,0.7
Colombia,52695952,0.6
Kenya,52428290,0.6
South Korea,51265238,0.6
Sudan,50448963,0.6
Spain,48797875,0.6
Argentina,47067441,0.6
Algeria,46700000,0.6
Uganda,45935046,0.6
Iraq,44414800,0.5
Canada,41012563,0.5
Poland,37582000,0.5
Morocco,37369652,0.5
Uzbekistan,36963262,0.5
Ukraine,36700000,0.5
Angola,35121734,0.4
Afghanistan,34262840,0.4
Peru,34038457,0.4
Malaysia,33980600,0.4
Mozambique,32419747,0.4
Saudi Arabia,32175224,0.4
Yemen,31888698,0.4
Ghana,30832019,0.4
Madagascar,30811969,0.4
Ivory Coast,29389150,0.4
Nepal,29164578,0.4
Cameroon,28758503,0.4
Venezuela,28405543,0.3
Australia,27364621,0.3
Niger,26312034,0.3
North Korea,25950000,0.3
Syria,24672760,0.3
Chinese Taipei,23409323,0.3
Burkina Faso,23409015,0.3
Mali,22395489,0.3
Sri Lanka,22037000,0.3
Malawi,20270568,0.2
Kazakhstan,20159707,0.2
Chile,20086377,0.2
Zambia,19610769,0.2
Romania,19051562,0.2
Chad,18675547,0.2
Somalia,18143379,0.2
Senegal,18126390,0.2
Netherlands,17981933,0.2
Guatemala,17843132,0.2
Cambodia,17336307,0.2
Ecuador,16938986,0.2
Zimbabwe,15178979,0.2
South Sudan,14746494,0.2
Rwanda,13798561,0.2
Guinea,13261638,0.2
Benin,12910087,0.2
Burundi,12837740,0.2
Bolivia,12006031,0.1
Tunisia,11850232,0.1
Belgium,11834323,0.1
Papua New Guinea,11781559,0.1
Haiti,11743017,0.1
Jordan,11516000,0.1
Cuba,11089511,0.1
Czech Republic,10859532,0.1
Dominican Republic,10760028,0.1
Portugal,10639726,0.1
Sweden,10553341,0.1
Greece,10413982,0.1
United Arab Emirates,10288946,0.1
Tajikistan,10277100,0.1
Azerbaijan,10151517,0.1
Israel,9921100,0.1
Honduras,9892632,0.1
Hungary,9584627,0.1
Austria,9179693,0.1
Belarus,9155978,0.1
Switzerland,8981565,0.1
Sierra Leone,8494260,0.1
Togo,8095498,0.1
Hong Kong,7531800,0.09
Laos,7443000,0.09
Libya,7381023,0.09
Kyrgyzstan,7100000,0.09
Turkmenistan,7057841,0.09
El Salvador,6884888,0.08
Nicaragua,6803886,0.08
Serbia,6605168,0.08
Bulgaria,6445481,0.08
Republic of the Congo,6142180,0.08
Paraguay,6109644,0.08
Denmark,5972420,0.07
Singapore,5917600,0.07
Central African Republic,5633412,0.07
Finland,5588685,0.07
Norway,5571634,0.07
Lebanon,5490000,0.07
Palestine,5483450,0.07
Slovakia,5422620,0.07
New Zealand,5338500,0.07
Costa Rica,5309625,0.07
Ireland,5281600,0.06
Liberia,5248621,0.06
Oman,5203674,0.06
Kuwait,4913271,0.06
Mauritania,4475683,0.06
Panama,4064780,0.05
Croatia,3855641,0.05
Eritrea,3748902,0.05
Georgia,3694600,0.05
Mongolia,3504741,0.04
Uruguay,3444263,0.04
Bosnia and Herzegovina,3264873,0.04
Puerto Rico,3205691,0.04
Armenia,3039700,0.04
Namibia,3022401,0.04
Lithuania,2892761,0.04
Qatar,2857822,0.04
Jamaica,2825544,0.03
Moldova,2423300,0.03
Gambia,2417471,0.03
Botswana,2410338,0.03
Gabon,2408586,0.03
Albania,2402113,0.03
Lesotho,2306000,0.03
Slovenia,2124709,0.03
Latvia,1860900,0.02
North Macedonia,1826247,0.02
Guinea-Bissau,1781308,0.02
Kosovo,1762220,0.02
Bahrain,1577059,0.02
Equatorial Guinea,1558160,0.02
Estonia,1374687,0.02
East Timor,1373024,0.02
Trinidad and Tobago,1367510,0.02
Mauritius,1260379,0.02
Eswatini,1235549,0.02
Djibouti,1001454,0.01
Cyprus,918100,0.01
Fiji,893468,0.01
Bhutan,777224,0.01
Guyana,772975,0.01
Comoros,758316,0.009
Solomon Islands,750325,0.009
Macau (China),687000,0.008
Luxembourg,672020,0.008
Montenegro,616695,0.008
Suriname,616500,0.008
Western Sahara,587259,0.007
Malta,542051,0.007
Maldives,515132,0.006
Cape Verde,491233,0.006
Brunei,445400,0.005
Belize,410919,0.005
Bahamas,397360,0.005
Iceland,383726,0.005
Northern Cyprus,382836,0.005
Transnistria,360938,0.004
Vanuatu,321409,0.004
French Polynesia (France),279890,0.003
New Caledonia (France),268510,0.003
Barbados,267800,0.003
Abkhazia,244236,0.003
São Tomé and Príncipe,228319,0.003
Samoa,205557,0.003
Saint Lucia,184100,0.002
Guam (US),153836,0.002
Curaçao (Netherlands),155826,0.002
Kiribati,120740,0.001
Seychelles,120581,0.001
Grenada,112579,0.001
Saint Vincent and the Grenadines,110872,0.001
Aruba (Netherlands),107151,0.001
Micronesia,105754,0.001
Antigua and Barbuda,103603,0.001
Jersey (UK),103267,0.001
Tonga,100179,0.001
U.S. Virgin Islands (US),87146,0.001
Andorra,86398,0.001
Isle of Man (UK),84530,0.001
Cayman Islands (UK),71105,9e-4
Dominica,67408,8e-4
Guernsey (UK),64769,8e-4
Bermuda (UK),64055,8e-4
Greenland (Denmark),56865,7e-4
South Ossetia,56520,7e-4
Faroe Islands (Denmark),54815,7e-4
Saint Kitts and Nevis,51320,6e-4
American Samoa (US),49710,6e-4
Turks and Caicos Islands (UK),49309,6e-4
Northern Mariana Islands (US),47329,6e-4
Marshall Islands,42418,5e-4
Sint Maarten (Netherlands),41349,5e-4
Liechtenstein,40023,5e-4
Monaco,38367,5e-4
Gibraltar (UK),34003,4e-4
San Marino,33950,4e-4
Saint Martin (France),32358,4e-4
British Virgin Islands (UK),31538,4e-4
Åland (Finland),30714,4e-4
Palau,16733,2e-4
Anguilla (UK),15780,2e-4
Cook Islands,15040,2e-4
Nauru,11680,1e-4
Wallis and Futuna (France),11620,1e-4
Tuvalu,10679,1e-4
Saint Barthélemy (France),10585,1e-4
Saint Pierre and Miquelon (France),6092,0
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,0
Montserrat (UK),4386,0
Falkland Islands (UK),3662,0
Norfolk Island (Australia),2188,0
Christmas Island (Australia),1692,0
Niue (New Zealand),1681,0
Tokelau (New Zealand),1647,0
Vatican City,764,0
Cocos (Keeling) Islands (Australia),593,0
Pitcairn Islands (UK),40,0
